+ACI-date+ACI-,+ACI-product+ACI-,+ACI-sales+ACI-,+ACI-day+AF8-of+AF8-week+ACI-,+ACI-month+ACI-,+ACI-quarter+ACI-,+ACI-year+ACI-,+ACI-day+AF8-of+AF8-year+ACI-,+ACI-sales+AF8-rolling+AF8-7+ACI-,+ACI-sales+AF8-rolling+AF8-30+ACI-,+ACI-sales+AF8-lag+AF8-1+ACI-,+ACI-sales+AF8-lag+AF8-7+ACI-,,
2023+AC0-07+AC0-19,+ACI-Widget A+ACI-,24,2,7,3,2023,200,+ACI-24.0+ACI-,+ACI-24.0+ACI-,,,,
2023+AC0-07+AC0-20,+ACI-Widget A+ACI-,16,3,7,3,2023,201,+ACI-20.0+ACI-,+ACI-20.0+ACI-,+ACI-24.0+ACI-,,,+ACI-comment+ACI-
2023+AC0-07+AC0-21,+ACI-Widget A+ACI-,19,4,7,3,2023,202,+ACI-19.666666666666668+ACI-,+ACI-19.666666666666668+ACI-,+ACI-16.0+ACI-,,,+ACI-comment+ACI-
2023+AC0-07+AC0-22,+ACI-Widget A+ACI-,18,5,7,3,2023,203,+ACI-19.25+ACI-,+ACI-19.25+ACI-,+ACI-19.0+ACI-,,,
2023+AC0-07+AC0-23,+ACI-Widget A+ACI-,21,6,7,3,2023,204,+ACI-19.6+ACI-,+ACI-19.6+ACI-,+ACI-18.0+ACI-,,,
2023+AC0-07+AC0-24,+ACI-Widget A+ACI-,25,0,7,3,2023,205,+ACI-20.5+ACI-,+ACI-20.5+ACI-,+ACI-21.0+ACI-,,,
2023+AC0-07+AC0-25,+ACI-Widget A+ACI-,26,1,7,3,2023,206,+ACI-21.285714285714285+ACI-,+ACI-21.285714285714285+ACI-,+ACI-25.0+ACI-,,,
2023+AC0-07+AC0-26,+ACI-Widget A+ACI-,19,2,7,3,2023,207,+ACI-20.571428571428573+ACI-,+ACI-21.0+ACI-,+ACI-26.0+ACI-,+ACI-24.0+ACI-,,
2023+AC0-07+AC0-27,+ACI-Widget A+ACI-,25,3,7,3,2023,208,+ACI-21.857142857142858+ACI-,+ACI-21.444444444444443+ACI-,+ACI-19.0+ACI-,+ACI-16.0+ACI-,,
2023+AC0-07+AC0-28,+ACI-Widget A+ACI-,28,4,7,3,2023,209,+ACI-23.142857142857142+ACI-,+ACI-22.1+ACI-,+ACI-25.0+ACI-,+ACI-19.0+ACI-,,
2023+AC0-07+AC0-29,+ACI-Widget A+ACI-,26,5,7,3,2023,210,+ACI-24.285714285714285+ACI-,+ACI-22.454545454545453+ACI-,+ACI-28.0+ACI-,+ACI-18.0+ACI-,,
2023+AC0-07+AC0-30,+ACI-Widget A+ACI-,19,6,7,3,2023,211,+ACI-24.0+ACI-,+ACI-22.166666666666668+ACI-,+ACI-26.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-07+AC0-31,+ACI-Widget A+ACI-,33,0,7,3,2023,212,+ACI-25.142857142857142+ACI-,+ACI-23.0+ACI-,+ACI-19.0+ACI-,+ACI-25.0+ACI-,,
2023+AC0-08+AC0-01,+ACI-Widget A+ACI-,31,1,8,3,2023,213,+ACI-25.857142857142858+ACI-,+ACI-23.571428571428573+ACI-,+ACI-33.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-08+AC0-02,+ACI-Widget A+ACI-,24,2,8,3,2023,214,+ACI-26.571428571428573+ACI-,+ACI-23.6+ACI-,+ACI-31.0+ACI-,+ACI-19.0+ACI-,,
2023+AC0-08+AC0-03,+ACI-Widget A+ACI-,21,3,8,3,2023,215,+ACI-26.0+ACI-,+ACI-23.4375+ACI-,+ACI-24.0+ACI-,+ACI-25.0+ACI-,,
2023+AC0-08+AC0-04,+ACI-Widget A+ACI-,17,4,8,3,2023,216,+ACI-24.428571428571427+ACI-,+ACI-23.058823529411764+ACI-,+ACI-21.0+ACI-,+ACI-28.0+ACI-,,
2023+AC0-08+AC0-05,+ACI-Widget A+ACI-,29,5,8,3,2023,217,+ACI-24.857142857142858+ACI-,+ACI-23.38888888888889+ACI-,+ACI-17.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-08+AC0-06,+ACI-Widget A+ACI-,22,6,8,3,2023,218,+ACI-25.285714285714285+ACI-,+ACI-23.31578947368421+ACI-,+ACI-29.0+ACI-,+ACI-19.0+ACI-,,
2023+AC0-08+AC0-07,+ACI-Widget A+ACI-,24,0,8,3,2023,219,+ACI-24.0+ACI-,+ACI-23.35+ACI-,+ACI-22.0+ACI-,+ACI-33.0+ACI-,,
2023+AC0-08+AC0-08,+ACI-Widget A+ACI-,28,1,8,3,2023,220,+ACI-23.571428571428573+ACI-,+ACI-23.571428571428573+ACI-,+ACI-24.0+ACI-,+ACI-31.0+ACI-,,
2023+AC0-08+AC0-09,+ACI-Widget A+ACI-,21,2,8,3,2023,221,+ACI-23.142857142857142+ACI-,+ACI-23.454545454545453+ACI-,+ACI-28.0+ACI-,+ACI-24.0+ACI-,,
2023+AC0-08+AC0-10,+ACI-Widget A+ACI-,16,3,8,3,2023,222,+ACI-22.428571428571427+ACI-,+ACI-23.130434782608695+ACI-,+ACI-21.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-08+AC0-11,+ACI-Widget A+ACI-,28,4,8,3,2023,223,+ACI-24.0+ACI-,+ACI-23.333333333333332+ACI-,+ACI-16.0+ACI-,+ACI-17.0+ACI-,,
2023+AC0-08+AC0-12,+ACI-Widget A+ACI-,25,5,8,3,2023,224,+ACI-23.428571428571427+ACI-,+ACI-23.4+ACI-,+ACI-28.0+ACI-,+ACI-29.0+ACI-,,
2023+AC0-08+AC0-13,+ACI-Widget A+ACI-,21,6,8,3,2023,225,+ACI-23.285714285714285+ACI-,+ACI-23.307692307692307+ACI-,+ACI-25.0+ACI-,+ACI-22.0+ACI-,,
2023+AC0-08+AC0-14,+ACI-Widget A+ACI-,26,0,8,3,2023,226,+ACI-23.571428571428573+ACI-,+ACI-23.40740740740741+ACI-,+ACI-21.0+ACI-,+ACI-24.0+ACI-,,
2023+AC0-08+AC0-15,+ACI-Widget A+ACI-,22,1,8,3,2023,227,+ACI-22.714285714285715+ACI-,+ACI-23.357142857142858+ACI-,+ACI-26.0+ACI-,+ACI-28.0+ACI-,,
2023+AC0-08+AC0-16,+ACI-Widget A+ACI-,22,2,8,3,2023,228,+ACI-22.857142857142858+ACI-,+ACI-23.310344827586206+ACI-,+ACI-22.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-08+AC0-17,+ACI-Widget A+ACI-,21,3,8,3,2023,229,+ACI-23.571428571428573+ACI-,+ACI-23.233333333333334+ACI-,+ACI-22.0+ACI-,+ACI-16.0+ACI-,,
2023+AC0-08+AC0-18,+ACI-Widget A+ACI-,21,4,8,3,2023,230,+ACI-22.571428571428573+ACI-,+ACI-23.133333333333333+ACI-,+ACI-21.0+ACI-,+ACI-28.0+ACI-,,
2023+AC0-08+AC0-19,+ACI-Widget A+ACI-,23,5,8,3,2023,231,+ACI-22.285714285714285+ACI-,+ACI-23.366666666666667+ACI-,+ACI-21.0+ACI-,+ACI-25.0+ACI-,,
2023+AC0-08+AC0-20,+ACI-Widget A+ACI-,35,6,8,3,2023,232,+ACI-24.285714285714285+ACI-,+ACI-23.9+ACI-,+ACI-23.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-08+AC0-21,+ACI-Widget A+ACI-,28,0,8,3,2023,233,+ACI-24.571428571428573+ACI-,+ACI-24.233333333333334+ACI-,+ACI-35.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-08+AC0-22,+ACI-Widget A+ACI-,20,1,8,3,2023,234,+ACI-24.285714285714285+ACI-,+ACI-24.2+ACI-,+ACI-28.0+ACI-,+ACI-22.0+ACI-,,
2023+AC0-08+AC0-23,+ACI-Widget A+ACI-,21,2,8,3,2023,235,+ACI-24.142857142857142+ACI-,+ACI-24.066666666666666+ACI-,+ACI-20.0+ACI-,+ACI-22.0+ACI-,,
2023+AC0-08+AC0-24,+ACI-Widget A+ACI-,22,3,8,3,2023,236,+ACI-24.285714285714285+ACI-,+ACI-23.933333333333334+ACI-,+ACI-21.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-08+AC0-25,+ACI-Widget A+ACI-,25,4,8,3,2023,237,+ACI-24.857142857142858+ACI-,+ACI-24.133333333333333+ACI-,+ACI-22.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-08+AC0-26,+ACI-Widget A+ACI-,13,5,8,3,2023,238,+ACI-23.428571428571427+ACI-,+ACI-23.733333333333334+ACI-,+ACI-25.0+ACI-,+ACI-23.0+ACI-,,
2023+AC0-08+AC0-27,+ACI-Widget A+ACI-,24,6,8,3,2023,239,+ACI-21.857142857142858+ACI-,+ACI-23.6+ACI-,+ACI-13.0+ACI-,+ACI-35.0+ACI-,,
2023+AC0-08+AC0-28,+ACI-Widget A+ACI-,20,0,8,3,2023,240,+ACI-20.714285714285715+ACI-,+ACI-23.4+ACI-,+ACI-24.0+ACI-,+ACI-28.0+ACI-,,
2023+AC0-08+AC0-29,+ACI-Widget A+ACI-,13,1,8,3,2023,241,+ACI-19.714285714285715+ACI-,+ACI-23.2+ACI-,+ACI-20.0+ACI-,+ACI-20.0+ACI-,,
2023+AC0-08+AC0-30,+ACI-Widget A+ACI-,15,2,8,3,2023,242,+ACI-18.857142857142858+ACI-,+ACI-22.6+ACI-,+ACI-13.0+ACI-,+ACI-21.0+ACI-,,
2023+AC0-08+AC0-31,+ACI-Widget A+ACI-,11,3,8,3,2023,243,+ACI-17.285714285714285+ACI-,+ACI-21.933333333333334+ACI-,+ACI-15.0+ACI-,+ACI-22.0+ACI-,,
2023+AC0-09+AC0-01,+ACI-Widget A+ACI-,26,4,9,3,2023,244,+ACI-17.428571428571427+ACI-,+ACI-22.0+ACI-,+ACI-11.0+ACI-,+ACI-25.0+ACI-,,
2023+AC0-09+AC0-02,+ACI-Widget A+ACI-,26,5,9,3,2023,245,+ACI-19.285714285714285+ACI-,+ACI-22.166666666666668+ACI-,+ACI-26.0+ACI-,+ACI-13.0+ACI-,,
2023+AC0-09+AC0-03,+ACI-Widget A+ACI-,28,6,9,3,2023,246,+ACI-19.857142857142858+ACI-,+ACI-22.533333333333335+ACI-,+ACI-26.0+ACI-,+ACI-24.0+ACI-,,
2023+AC0-09+AC0-04,+ACI-Widget A+ACI-,26,0,9,3,2023,247,+ACI-20.714285714285715+ACI-,+ACI-22.433333333333334+ACI-,+ACI-28.0+ACI-,+ACI-20.0+ACI-,,
2023+AC0-09+AC0-05,+ACI-Widget A+ACI-,33,1,9,3,2023,248,+ACI-23.571428571428573+ACI-,+ACI-22.8+ACI-,+ACI-26.0+ACI-,+ACI-13.0+ACI-,,
2023+AC0-09+AC0-06,+ACI-Widget A+ACI-,19,2,9,3,2023,249,+ACI-24.142857142857142+ACI-,+ACI-22.633333333333333+ACI-,+ACI-33.0+ACI-,+ACI-15.0+ACI-,,
2023+AC0-09+AC0-07,+ACI-Widget A+ACI-,24,3,9,3,2023,250,+ACI-26.0+ACI-,+ACI-22.5+ACI-,+ACI-19.0+ACI-,+ACI-11.0+ACI-,,
2023+AC0-09+AC0-08,+ACI-Widget A+ACI-,26,4,9,3,2023,251,+ACI-26.0+ACI-,+ACI-22.666666666666668+ACI-,+ACI-24.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-09+AC0-09,+ACI-Widget A+ACI-,18,5,9,3,2023,252,+ACI-24.857142857142858+ACI-,+ACI-22.733333333333334+ACI-,+ACI-26.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-09+AC0-10,+ACI-Widget A+ACI-,23,6,9,3,2023,253,+ACI-24.142857142857142+ACI-,+ACI-22.566666666666666+ACI-,+ACI-18.0+ACI-,+ACI-28.0+ACI-,,
2023+AC0-09+AC0-11,+ACI-Widget A+ACI-,22,0,9,3,2023,254,+ACI-23.571428571428573+ACI-,+ACI-22.466666666666665+ACI-,+ACI-23.0+ACI-,+ACI-26.0+ACI-,,
2023+AC0-09+AC0-12,+ACI-Widget A+ACI-,17,1,9,3,2023,255,+ACI-21.285714285714285+ACI-,+ACI-22.333333333333332+ACI-,+ACI-22.0+ACI-,+ACI-33.0+ACI-,,
